,Steming,Label
83,sedih banget media nge goreng ilmu tahu nyari animo marah rakyat perintah inget perintah indonesia bodoh blue energy konsep persis nikuba hasil media rakyat indonesia minim literasi tinggal baca hukum kekal energi energi muncul tiada output energi input juta persen mesin pakai bahan bakar air elektrolisis hasil hidrogen mesti repot repot ubah air hidrogen bahan kaya hidrogen halu kayak emang kesel perintah indonesia bobrok emang perintah bobrok bohong dosa dear surya paloh politik emang manis jual tahu bahan politik,negatif
117,mudeng sistem nikubanya gx aplikasi emang ganti bbm jg gx energi pisah banding gx nuklir ganti bbm tah orang indo rame gax mikir batu ponari tidak celupin inti baik aku,positif
374,sensasi wartawan sokong nikubasaya ntar bikin info konspirasi nikuba dimatikanbla bla bla,positif
25,negeri banyak koruptur modalin nikuba mending duit makan,netral
110,nikuba terap pasar indonesia pertamina ancam jg listrik susah damping dukukung perintah,positif
149,temu bentuk mentah olah orang negeri beli nikuba telan mentahmentah olah optimal otak koruptor emang malas mikir mikir untung kaya hajar heran puluh alm bj habibie parah,positif
152,copot jabat kemarin aku nicuba teliti,netral
16,nikuba direspon mafia minyak tidur kolong jembatan,positif
412,pertamina takut bangkrut wkwk,negatif
331,otomotif italia ajar nikuba kembang nyata resmi nikuba pakai,positif
109,simpel nikuba pecah hidrogen oksigen air ho energi listrik proses elektrolisis hidrogen hasil elektrolisis bahan bakar simpel debat ho air salah senyawa stabil alam semesta reaktif air bakar saking stabil sifat stabil energi pisah hidrogen oksigen air kerja nikuba air elektrolisis hidrogen bakar energi gerak proses elektrolisis nikuba ambil energi listrik aki ahli duga aki motor tekor proses elektolisis efisien boros energi aki cas mesin motor hukum termodinamika ajar fisika dengar hukum kekal energi energi cipta musnah energi ubah bentuk bentuk energi poin yak hukum kekal energi coba terap nikuba asumsi proses elektrolisis efisien sebenernya mustahil aki energi listrik proses elektrolisis nikuba energi listrik ubah energi hidrogen bakar mesin energi panas energi gerak energi gerak pecah energi gerak roda energi gerak gerak alternator energi gerak ubah energi listrik aki aki mula energi listrik siklus suplai energi listrik alternator skeptis aki motor tekor sedot listrik asumsi nikuba hemat bensin ganti bensin pure bensin tekor nikuba bensin aryanto misel jamin hadiah nobel patah hukum kekal energi isi dunia heboh negara lomba dapetin teknologi negara haus banget energi amerika gantung minyak timur moga tulis tidak mumet wkwk bisa jelasin awam,positif
446,waduhh perintah khawatirsementara indonesia giat giat hilir tembaga nikel dll butuh batrai mbl listrik nikuba kembang berhasilkeuntungan depan mata khawatir sirna,positif
427,okenikuba potensial eropa nikuba butuh energi listrik lha eropa pakai nuklir bang menang ri pakai nikuba kantong compang camping tembus dengkul bang,positif
139,nikuba aku kembang indonesia usaha spbu indonesia tutup rugi,netral
237,brin mil uang suap boss ferari indo tetep nolak nikuba teknologi nikuba otomatis paksa jual boss ferari orang orang brin kaya uang suap italia maju nikuba rakyat indo miskin kurang kembang teknologi,negatif
260,misel halu temu guna motor full bahan bakar air tunjuk publik silah paten temu curi orang nikubaadalah mesin tenaga air wakanda orang gampang tipu ilmuwan abal abal,positif
352,untung beli hak nikuba ubah air jdi bahan bakar tpi mesin ilmu tahu rahasia,positif
433,iri kaya rakyat pilih nikubabbm guna bbm pangkuanya konoha banyk terroris segi ekonomi,negatif
317,murah perintah ambil alih kembang indonesia saing mobil listrik laku gara nikuba,negatif
323,pikir nikuba saing mobil listrik masa tv belah ri pabrik besar bateray gandeng australia,netral
490,nikuba efisien hemat bbm hydrogen murah mafia minyak halang temu,positif
248,brin aku nikuba pertamina bumn ketar tir,negatif
399,bensin ntar laku,netral
548,brin angkuh aku hasil temu tehnologi anak bangsabubarin brin guna,negatif
19,paham fisika percaya klaim nikuba,positif
328,amsyong jual bbm endonesa sampe nikuba terima endonesa,positif
296,muncul obat hiv cegah rilis dunia mati bisnis farmasi nicuba takut pertamina batubara laku,negatif
528,nikuba buat anies tidak laku brin,netral
269,baca ira nikuba inti nikuba bukti uji italia lamborghini orang membohingi,positif
363,teknologi perintah kembang teknologi jalan uji ilmiah bareng ahli indonesia nikuba jalan temu nikuba langkah laku genset bahan bakar air gampang prinsip kerja jalan misel orang kaya indonesia temu sulit tantang bukti,positif
226,nikuba hoax,negatif
470,temu bahan bakar air sempurna faktor salah satu butuh energi pisah air hidrogen efektif bahan bakar fosil solusiny suhu bumi panas solusi nikuba salah solusiny semangat inovasitidak mustahil maju ilmu tahu,positif
3,nikubadi pakai indonesia bisnis bbm indonesia,negatif
534,takut pertamina bangkrut tolak nikubacontoh indonesia subur beras impor garam impor maju indonesia dari usaha pengin instan beli impor,negatif
125,malu berita nikuba diviralkan dieropa japan pakai teknologi bas hydrogen toyota mirai inggris stasiun isi bahan bakar hudrogen mobil,negatif
280,jelasapabila nikuba alternatif ganti bbm usaha jabat alami khawatir rasa income dari bbm,positif
286,mobil motor listrik libas teknologi nikuba rugi besar indonesia gara gara brin otak bawah,negatif
77,upin ipin skarang nikuba harga negara ngapain brin hadir hahahahaahah,positif
184,nikuba keren brin cilukba,positif
371,ayo beli nikuba netizen dukung nikuba,positif
492,perintah ri nikuba perintah bunuh pertamina bangkrut,negatif
543,orang brin potong bisnis nikuba,positif
275,nikuba alat hemat bbm bahan bakar air nikuba hak paten joko priyono joko energy percaya lihat chanel youtube joko energy detail nikuba hemat bbm surat hak hak paten joko energy itali eropa kena prank moga itali bongkar bohong nikuba klaim bahan bakar air fakta hemat bbm italia eropa beli miliar rupiah italia eropa bodoh bohong,positif
294,hidup nikuba bubar brin manfaat,positif
524,moga perintah zimbabwe harga kretifitas cerdas putraputri negeri harum nama negara temu jenius guna dunia bravo zimbabwe terima kasih,positif
182,nikuba trussblum aryanto viral joko energycoba metro tv liput joko energy kaget desain hho generator sma kyk kepunyaanya nikuba pdhl duluan joko energy,positif
32,negeri sulit harga hasil karya anak bangsa nikuba anyar stadium jis milik cacad hasil karya rezim konco konco cacad kurang disanjungsanjung sedih,negatif
80,air bbm mustahil perintah bertanggungjawab klarifikasi korban tipu nikuba,negatif
307,nikuba dikembangkanpenjual bbm antek rugi besarmakanya hambat,negatif
258,insinyur bodong komentar miring hujat nikuba isi otak titel deret banding temu nikuba dungu makmur potensi anak negeri bungkam dungu ngajak orang,negatif
11,rakyat nkri bangga hasil viral pikir ilmiah kesana benerin nikuba rumania,positif
360,belagu berani banget ricky nelson paten motor listrik habibie paten terbang harga paten nicuba bebal negri,positif
496,moga perintah zimbabwe harga kretifitas cerdas putraputri negeri harum nama negara temu jenius guna dunia bravo zimbabwe terima kasih,positif
86,gasss tv kasih kendor naikin nama nikuba brin presiden jokowi kena prank temu nikuba hujat deh netizen rakyat indonesia raya terima kasih angkat berita latih bangsa overproud mudah bodoh media,negatif
266,kcewa sma negara bukti orang memghargai hasil krya jual nikuba paten aj buka rahasia,positif
36,korban bodoh media tvdi yt bahas gagal nikuba,negatif
193,om hak paten nikuba made indonesia jdi nikuba pakai mana kompensasi umur hidup jadi sperti harley davidson ulang om harley company gede abis lenyap higga bangkit sedang nol cuman gara dlu produksi pakai karbu brand,positif
58,asli mentah hati temu nikuba presenter harap perintah brin tingkat nikuba inipak misel lantang tidak butuh nantai habis lugas pobroknya rezim gedung dpr telusur google kandang tikus jabat banyak tugas partai tugas rakyat,positif
41,nikuba bangga bangsa mati temu dari anak bangsa lari negeri harga bangsa contoh temu obat dbd dari kota pontianak mati mati juang hasil temu tolak negara riset obat dbd hasil indonesia temu anggap sepi ajamana orang teliti gelar profesor tidak malu masyarakat hasil riset,positif
270,ngabalin risma abu janda apresiasi rezim banteng banding nikuba,positif
411,coba metro riset joko energy deh nikuba,positif
50,emang barat tarik produk nikuba teknologi mumpuni pakai minyak ketawa takut hujat,positif
209,fakta aryanto kmrn undang italia negosiasi alat nikuba aryanto terbang italia bantu baik alat nikuba romania rusak lebih cma dar drama patut nanti episode,negatif
545,kasihan teliti jual cipta nikuba rp milyar nilai uang hak intelektual pakai manusia murah fee moga semangat teliti sehat,positif
485,salut kembang teknologi hho nikuba temu apa sulit kembang produksi masal biaya perban institusi produk rugi bisnis badan usaha negara dapet biaya bentur perijinan ijin usaha kecuali pakai sendiriinilah realitanya cuman negri nikola tesla temu teknologi hho temu takjub tidak publikasi,negatif
529,sulit teknologi ubah air bahan bakar tinggal cari hak paten produk paten negeri negeri orang usaha produk bayar royalty milik paten,positif
509,nikuba mantul go ue,positif
123,seriusin nikuba alat politik esemka mobil nasional order,positif
222,negri tidak harga hasil karya anak bangsa dukung usah negri pakai nikuba,positif
419,perintah mending ngurusin rumput ketimbang ngurusin nikuba,positif
62,tau ku nikuba,netral
461,nikuba ekstrak hidrohen ho unsur air hidrogen gerak mesin energi ekstrak ho km liter lumayan liter air pakai mesin scoopy smpai liter bensin pertalite km energi ekstrak hidrogen murah liter pertalite mantap,positif
377,nikuba,negatif
130,canggih teknologi nikuba murah lamborghini ferrari politik dunia usaha hambat berat indonesia maju,positif
187,jago automotif toyota bmw detroit kalah nikuba temu hydrogen bahan bakar automotif,positif
23,sains kembang masuk akal tolak mentah cibir ilmu nyampe orang pintar buka inovasi terpa rumus enstein hawking orangorang pintar lampau,positif
456,nikuba inovasi yull brown temu generator hho,positif
484,gin poin soal prinsip kerja nikuba beda teknologi metode elektrolisis uji ilmiah apa misel uji alat ilmiah bukti hasil dukung brin nyata brin wawancara aiman hasil uji usaha percaya tarik klaim masuk akal contoh jalan km hitunghitungan fisika alias mustahil alat jual miliar uji ilmiah orang percaya beli harga miliar bukti ilmiah tangkap berita viral tuju dapat dikomen diskusi,positif
43,brin disalahin negara duit hasil jenius nikuba,negatif
370,pin ferrari perintah cawecawe kerja bareng orang harga ntar nikuba dunia benarbenar aplikasi pas sempurnagw cawecawe ajar sejarah mobil listrik nasional ajar sejarah ricky elson,positif
394,nikuba dunia negara esemka,netral
0,anggar rp triliun nikuba karya anak bangsa insyaa allah laquwwata illa billah,positif
383,saran temu lirik perintah banyak mahasiswa unjung temu publikasi youtub media sosial youtubenya jokowi ni nyoba nikuba aman lo teknologi ambil orang,negatif
201,tesla batre terkenalnyasepertinya nikuba kembang ni saing sanding mobil smea sepeda motorbisa produk jempol indonesialagian harga bilang murah banding uang korup untung raup nikuba kembang produk pasar masal,positif
405,heran percaya dikibulin aryanto miselorang beli nikuba susah sewa ogah alesan juta emang niat nipu,negatif
368,nikuba tinggkatkan rigikan oligarki,negatif
518,orang licik indonesia perang lawan bangsa asing beperang bangsa brinnn bagus sayang oknum nkri tiputipu harga bangsa,negatif
98,rugi pertamina nikuba terima,negatif
387,tahan hasil karya direbutdiakui oknum salah,negatif
349,ferrari gratis presentasi itali tarik beli teknologi nikuba anda ferrari tarik beli misel damping negiator capabel misel turun terima rolyalty misel tiada,negatif
304,tantang anak bangsa kembang remeh bangsa persis pimpin bangsa usir jajah negara asing mudah banding lawan jajah bangsa,negatif
418,negri hasil nikuba kalah batrai listrik sawit,positif
292,bukti pulang mil cuman bawa cerita sensasi kunjung teliti tunjuk bukti berkalikali hubung beli tanggap omong kosong produk jual jepang hongkong order negeri penuh kontrak kerja ngaku kecewa orang italia bodoh hal orang brin itb ui its ugm akademisi indonesia cuman tukang mimpi percaya nikuba sulap air bbm sama aryanto misel bj habibie kuliah karirnya moncer jerman,negatif
178,nikuba omong kosong,netral
369,brin indonesia enak korupsi uang kembang potensi karya anak bangsa enak orang brin indikasi nikuba orangorang pesan tidak wajib ahli,positif
256,admin coba kroscek ulang kendara pakai tentara nikuba dulubiar validsudah tahun admin,netral
94,rusia ketar tir menghalangin suap nikuba lolos eropa akibat minyak rusia blokir akibat perang ukraina vs rusia,negatif
197,jual tahan dukung negeri cemooh orang brin moga jaya moga orang brin kesana hambat caplok nama nikuba,positif
95,nikola tesla nisa bangun tower listrik gratis hancur kapital untung produksi massal untung kapital orang brin loby gin inti nikuba minat alas ilmiah,negatif
538,taun tni coba motor pakai nikubatapi bantai brin,netral
163,tenang ntar indonesia beli nikuba itali kesan beli barang kualitas alas teknologi aman evisien lucu nikuba sukses negara orang ntar beli dana ambil uang rakyat,positif
169,jg hilang tu nikuba lupa wktu sby kepincut ama produk model gin kecewa cm pepes kosong klaim cirebonsmg pp liter air mampir dipom kali bahas,negatif
69,hho generator bilang ganti bbm sains mesin gerak hidrogen nikuba hasil hidrogen kendara bbm gin misel niru produk orang yo bacot dah mesin nikuba cipta bikin joko energy cipta,positif
305,angin segar negara eropa saat sedang krisis bbm nikuba langsung auto teliti produksi massal negeri,negatif
48,takut bangkrut klw pakai nikuba,negatif
341,alas bangsa majumereka butuh orang hebat orang jahat,negatif
373,lepas usaha temu mari bahas segi ilmiah liput beliau klaim liter air tempuh jarak km tempuh motor asumsi lkm butuh liter bensin tara mj energi efisiensi liter air ubah hidrogen efisiensi hasil kg hidrogen tara mj tanya mj energi gerak motor km masuk akal pandang ilmiah lebih nilai diskusi mari diskus,positif
397,moga nikuba produksi masal kalao kendara motor nikuba egk sedang ngantri pom bensin moga nikuba wujud,positif
207,nyinyir ama nikuba kangen,negatif
279,harga buka maranello ducati suruh buka komponen alas bukti karya buka komponen nikuba batal italia garagara maranello ducati buka komponen nikuba,positif
517,woy bangga sma ngapain nikuba nikuba,positif
227,presiden teliti kembang go internasional kenteng magic ajak motor mobil nikuba export indonesia jaya orang,positif
148,makar temu nikuba tu temu ilmu ahli indonesia ajar pecah mungkinmustahil jawab kecuali barang institusi riset teknologi indonesia unsur mafia maju indonesia tu institusi institusi angkat tanganminim prestari laku audit,positif
143,nikuba pasar bensin dll laku,netral
334,nikuba ferrari irit supra,positif
522,pasar usaha kompetitor nikuba kaya orang tukang goreng tukang goreng inovasi kreativitas kalah saing,positif
180,banyak ngehayal orang bicara dasar fisika konversi energi air ho pecah hidrogen oksigen nama elektrolisis butuh energi teknologi nikuba air ho pecah energi listrik hasil hidrogen jadi bahan bakar hasil energi gera sepeda motor segi fisika termodinamika konversi energi efisien energi listrik pecah senyawa air hidrogen hidrogen bakar energi gerak motor efisien langsung energi listrik utntuk gera motor kembang motor listrik teknologi nikuba kembang efisien hukum termodinamika konversi energi lihat masyarakat indonesia paham buat narasi air bahan bakar mebutuhkan energi ubah air hidrogen mafia maju akademisi ilmuwan tolak temu dll orang tolol,positif
356,anak bangsa bidang teknologi kayak bpk bj habibicuma nikuba temu bj habibi tua jg pakai olenh bagsa iniyg bangsa butuh orang cerdas butuh jabat bejat ajak kerja korupsi,positif
460,kulo nyengkuyung menawi arianto mentranfer nikuba dhateng ferari supados saking ferrari meniko saget ndamel bumi sehat bebas saking polusi saking ferarri ilmu tekhnologi nikuba saget nyebar doyo arah bumi,positif
131,nikuba teknologi manfaat manusia,positif
127,nikuba efisien tekor jadi energi,negatif
47,bumn dah bangkrut nikuba massal jabat bumn pertaminaini nikuba sulit tembus,negatif
452,sumber energi utama air percaya hukum kekal energi,positif
262,jual apa detail hydrogen combustion engine mah biarin teknologi toyota katalis electrolysistnya gw saranin brin tindak cepat peluk nikuba culik orang,positif
324,dukung sungguh sulit negara koruptor,netral
203,nikuba hayalan gaya temu tidak bukti orang tolol percaya air ubah minyak bbm kendaran hahaha hahahaha halu tingkat dewa,negatif
84,kolaborasi nikuba motor listrik,netral
426,nikuba pakai indonesia ntar mobil esemka produksi donks,netral
121,harga perintah takut warga indonesia nikuba bahan bakar minyak salah hasil anggar negara besar,positif
547,nikuba bahaya tampung langsung cerdas,positif
523,unit mesin nikuba emang harga,netral
542,nikuba bohong gais,netral
398,dukung kasih nikuba negeri indonesia harga karya anak bangsa ngk ngotak mmg perintah ni tahun lo temu nikuba perhati perintah ngk harga,positif
384,aduh bodoh indonesia hebat temu nikuba indonesia auto kaya usaha mobil sport italia untung kasih formula tolong perintah ambil temu nikuba italia kembang sukses aduhh,positif
91,temu super nikuba pakariantoharusna negara turun kembang sampe negara laen mematenkanluar air ubah hidrogenair ganti bahan bakar,positif
82,teknologi gituan han nyata work usaha antre tidak ferrari alatu lamborghini misel deh toyota kawan kawan tidak libat perintah usaha nikuba contoh pt joko energi coba search tidak percaya metro bodohin masyarakat deh,positif
430,takut nikuba sukses you know lahhh birokrasi,positif
267,temyan tipu bhw nikuba hny air ganti bbm,negatif
119,tunggu apresiasi hujat sederhana sistem mekanisme nikuba kelas italia paham,negatif
291,negara korupsi nikuba karya anak bangsa karya anak bangsa abai,netral
57,pertamina takut nikuba produksi,netral
321,nikuba tipu tahan aryanto tebar hoax air bensin kakek tua tipu murah,negatif
257,pikir maju indonesia salah negara kaya dunia klau nikuba ganti bbm negara butuh alternatif energikrn minyak bumienergi habis alternatif beli perintah indonesia bumn,positif
442,kasihan ariyanto dikerjain kayak curi teknologi produk otomotif nikuba royalti paten bill gates kaya ahli sains ahli paten produk orang beli buka informasi brin lembaga guna habis anggar bubarin brin,negatif
42,kendara indonesia jalan teknologi nikuba mobil indo bahan bakar bensin dll usaha mobil dukung teknologi nikuba yaituuuuuu esemka esemka produksi pas musim pilih produksi tugas partai omong planga plongo,positif
388,brin tolak nikuba brin ambisi kemarin brin keluar mobil tenaga air alih rubah cell mobil lakumotornya jg laku buat brin ribet harap pk miksel sumbang dunia negeri neraka pribumi kemarinsangat harap egin diesel nikuba tunjang usaha perintah diam,negatif
335,usul temu nikuba urus kewarganegaraan pindah itali,netral
273,brin nyampe ilmu egois beli produk nikuba bukti bukti fungsi bukti ilmu brin nyampe bajar aryanto misel support hak paten hasil produk patah cemooh hasil temu orang,negatif
488,nikuba hoax apa maksimal,positif
53,jual uni eropa paklebih aju perintah kembang produksi mesin nikuba bahan bakar air,positif
525,tuju sm bapak temu ank bangsa pernh harga mending jual aj keluarnegri nnti benr produksi masal kendara nm tetep dunia bagi penemusukses,positif
128,selamat dunia kena prank nikuba,positif
28,nikuba massall celaah untung akn kecill sdikit celah korups jamaah bibit anak bangsa cerdas anggap rugi sampe kiamat sluruh jabat jajah mu turun turun,positif
183,nikuba dokter awan korban orng pintar licik,positif
459,produk nikuba beli harga bohong orang indonesia kemarin bilang alat bilang formula,positif
510,brin aneh ngomong ragu nikuba dateng ngetest nikubanya normal manusia ragu bukti brin tidak ngomong doang dateng kocak,negatif
151,orang pintar indonesia dbuang ayoo ferrari cepet beli lisensi nikuba politisasi jabat wakanda,positif
244,sayang buat nikuba transparan temu pakar teknologi bukti bukti hasil monggo buat hak paten hak kemenkumham,negatif
265,politik usaha bumn takut pertamina bangkrut nikuba produksi masal pertamina gulung tikar,negatif
288,memang aorang pintar orang nikuba omong,positif
423,ferari pakai teknologi nikuba negeri wakanda perintah cengangas cengenges kek orangorang dungu,netral
147,nikuba pas era cocok kembang padu motor mobil listrik milik kapasitas listrik kendara motor konvensional sumber listrik kendara listrik sumber baterai rem mekanik dll proses hidrogen air butuh butuh listrik besarkurang maksimal kendara konvesional milik aki acu penuh butuh listrik tuju hidrogen air bahan bakar kendara,positif
177,nikuba indonesia dukung lai mahal harga jadi usaha peeusahaan adopsi,positif
99,masalah brin remeh karya anak bangsa campur urus nikuba,negatif
448,nikuba ndubus,netral
431,pulang italy cuman dapet uang euro buku formula nikuba yakali enak banget orang italy ambil formula nikuba kompensasi sesuai,positif
115,beli nikuba perintah itali otomotif itali salah perintah indonesia indonesia otomotif buat asli indonesia nyinyir perintah indonesia,positif
72,indonesia nikuba temu bagus teknologi indonesia teknologi terap nikuba industri otomotif sumber energi temu,positif
537,kasihan teliti jual cipta nikuba rp milyar nilai uang hak intelektual pakai manusia murah fee moga semangat teliti sehat,positif
174,kkn pelihara negara konoha model nikuba temu anak negeri,netral
87,indonesia bwrgantung sumber jual bbm pertamina sumber dana negarajika air ganti bbmnegara indonesia rugi triliunanjuga royalti jual bbm perintah uang kantongbayangkan rugi perintah air bahan bakar bbm rasa cemas bbm guna tentang habis idea nikuba sumber ekonomi indonesia besar gantung jual ekspor bbm tempat,negatif
486,efektif tu teknologi brin bu eniya yng faham hhydrogen bos suruh yng neliti tu nikuba,negatif
314,mobil listrik jamur manjadi lahan komersial tanah air putra bangsa indonesia kembang bnyk halang masalah hukum putra bangsa indonesia kontribusi bidang transportasi ramah lingkung sulit sempat emas sungguh aneh negri bukti tunduk konglomerasi kapitalisme hidup indonesia,negatif
396,bagus jual negeribukankah nikel diamdiam jualnikuba terang terang,positif
472,nunggu produksi motor nikuba,netral
70,takut disaingin produk perintah nikuba takut rugi lanjut cita nikuba indonesia aku negara aku ahli semangat nikuba bantai habis brin wajar jual negeriwkwkwk,positif
277,bukti jual manfaat laku omong doang nikuba khayal joko energi jual laku hemat bbm,positif
9,ko bajing brin cuek sm temu nikuba ngapain ikut itali curiga sepakat nikuba jk kerjasama mk simpul kegoblogan brin,negatif
359,nikuba stadion jis karya anak bangsa kelompok mafia jelek jelek rusak stadionnnya,negatif
192,dapat pribadi nikuba jalan mulus efektive teknologi canggih media gembar gembor sebar berita dwi batang kendondong vaksin merah putih bibit padi tangan robot dllpada bukti,positif
