,Text,Label,CaseFolding,TextClean,tokens,normalisasi,stopword
110,"Kalo NIKUBA di terapkan dan dipasarkan di indonesia. Pertamina akan terancam, bgtu jg kelistrikan. Makanya susah di dampingi dn di dukukung oleh pihak2 pemerintah.",positif,"kalo nikuba di terapkan dan dipasarkan di indonesia. pertamina akan terancam, bgtu jg kelistrikan. makanya susah di dampingi dn di dukukung oleh pihak2 pemerintah.",kalo nikuba di terapkan dan dipasarkan di indonesia pertamina akan terancam bgtu jg kelistrikan makanya susah di dampingi dn di dukukung oleh pihak pemerintah,"['kalo', 'nikuba', 'di', 'terapkan', 'dan', 'dipasarkan', 'di', 'indonesia', 'pertamina', 'akan', 'terancam', 'bgtu', 'jg', 'kelistrikan', 'makanya', 'susah', 'di', 'dampingi', 'dn', 'di', 'dukukung', 'oleh', 'pihak', 'pemerintah']","['kalau', 'nikuba', 'di', 'terapkan', 'dan', 'dipasarkan', 'di', 'indonesia', 'pertamina', 'akan', 'terancam', 'begitu', 'jg', 'kelistrikan', 'makanya', 'susah', 'di', 'dampingi', 'dan', 'di', 'dukukung', 'oleh', 'pihak', 'pemerintah']","['nikuba', 'terapkan', 'dipasarkan', 'indonesia', 'pertamina', 'terancam', 'jg', 'kelistrikan', 'susah', 'dampingi', 'dukukung', 'pemerintah']"
111,Yaampun pembodohan publik bahkan dari media yg ditonton jutaan orang. Bahkan di Italy ga ada berita ttg Nikuba ini 😂😂😂😂😂😂😂😂😂😂😂😂😂,positif,yaampun pembodohan publik bahkan dari media yg ditonton jutaan orang. bahkan di italy ga ada berita ttg nikuba ini 😂😂😂😂😂😂😂😂😂😂😂😂😂,yaampun pembodohan publik bahkan dari media yg ditonton jutaan orang bahkan di italy ga ada berita ttg nikuba ini,"['yaampun', 'pembodohan', 'publik', 'bahkan', 'dari', 'media', 'yg', 'ditonton', 'jutaan', 'orang', 'bahkan', 'di', 'italy', 'ga', 'ada', 'berita', 'ttg', 'nikuba', 'ini']","['yaampun', 'pembodohan', 'publik', 'bahkan', 'dari', 'media', 'yang', 'ditonton', 'jutaan', 'orang', 'bahkan', 'di', 'italy', 'tidak', 'ada', 'berita', 'tentang', 'nikuba', 'ini']","['yaampun', 'pembodohan', 'publik', 'media', 'ditonton', 'jutaan', 'orang', 'italy', 'berita', 'nikuba']"
112,"Pertanyaannya sih simple, kenapa kita tdk mengembangkan nikuba ketimbang wara Wiri ngeributin motor elektrik?",netral,"pertanyaannya sih simple, kenapa kita tdk mengembangkan nikuba ketimbang wara wiri ngeributin motor elektrik?",pertanyaannya sih simple kenapa kita tdk mengembangkan nikuba ketimbang wara wiri ngeributin motor elektrik,"['pertanyaannya', 'sih', 'simple', 'kenapa', 'kita', 'tdk', 'mengembangkan', 'nikuba', 'ketimbang', 'wara', 'wiri', 'ngeributin', 'motor', 'elektrik']","['pertanyaannya', 'sih', 'simple', 'kenapa', 'kita', 'tidak', 'mengembangkan', 'nikuba', 'ketimbang', 'wara', 'wiri', 'ngeributin', 'motor', 'elektrik']","['pertanyaannya', 'simple', 'mengembangkan', 'nikuba', 'ketimbang', 'wara', 'wiri', 'ngeributin', 'motor', 'elektrik']"
113,Nikuba lebih berharga di negara lain.karna di negara sendiri takut perusahaan bumn tersaingi bisnisnya.jadi segala cara di gunakan.,positif,nikuba lebih berharga di negara lain.karna di negara sendiri takut perusahaan bumn tersaingi bisnisnya.jadi segala cara di gunakan.,nikuba lebih berharga di negara lainkarna di negara sendiri takut perusahaan bumn tersaingi bisnisnyajadi segala cara di gunakan,"['nikuba', 'lebih', 'berharga', 'di', 'negara', 'lainkarna', 'di', 'negara', 'sendiri', 'takut', 'perusahaan', 'bumn', 'tersaingi', 'bisnisnyajadi', 'segala', 'cara', 'di', 'gunakan']","['nikuba', 'lebih', 'berharga', 'di', 'negara', 'lainkarna', 'di', 'negara', 'sendiri', 'takut', 'perusahaan', 'bumn', 'tersaingi', 'bisnisnyajadi', 'segala', 'cara', 'di', 'gunakan']","['nikuba', 'berharga', 'negara', 'lainkarna', 'negara', 'takut', 'perusahaan', 'bumn', 'tersaingi', 'bisnisnyajadi']"
114,"lanjutkan pa ,Nikuba jos gandos,,,,,",netral,"lanjutkan pa ,nikuba jos gandos,,,,,",lanjutkan pa nikuba jos gandos,"['lanjutkan', 'pa', 'nikuba', 'jos', 'gandos']","['lanjutkan', 'apa ', 'nikuba', 'jos', 'gandos']","['lanjutkan', 'apa ', 'nikuba', 'jos', 'gandos']"
115,Yang membeli NIKUBA bukan pemerintah ITALI. tapi otomotif Itali. jadi jangan menyalahkan pemerintah Indonesia. Karena Indonesia tidak ada otomotif buatan asli Indonesia. jadi jangan nyinyir tentang pemerintah Indonesia..,positif,yang membeli nikuba bukan pemerintah itali. tapi otomotif itali. jadi jangan menyalahkan pemerintah indonesia. karena indonesia tidak ada otomotif buatan asli indonesia. jadi jangan nyinyir tentang pemerintah indonesia..,yang membeli nikuba bukan pemerintah itali tapi otomotif itali jadi jangan menyalahkan pemerintah indonesia karena indonesia tidak ada otomotif buatan asli indonesia jadi jangan nyinyir tentang pemerintah indonesia,"['yang', 'membeli', 'nikuba', 'bukan', 'pemerintah', 'itali', 'tapi', 'otomotif', 'itali', 'jadi', 'jangan', 'menyalahkan', 'pemerintah', 'indonesia', 'karena', 'indonesia', 'tidak', 'ada', 'otomotif', 'buatan', 'asli', 'indonesia', 'jadi', 'jangan', 'nyinyir', 'tentang', 'pemerintah', 'indonesia']","['yang', 'membeli', 'nikuba', 'bukan', 'pemerintah', 'itali', 'tetapi', 'otomotif', 'itali', 'jadi', 'jangan', 'menyalahkan', 'pemerintah', 'indonesia', 'karena', 'indonesia', 'tidak', 'ada', 'otomotif', 'buatan', 'asli', 'indonesia', 'jadi', 'jangan', 'nyinyir', 'tentang', 'pemerintah', 'indonesia']","['membeli', 'nikuba', 'pemerintah', 'itali', 'otomotif', 'itali', 'menyalahkan', 'pemerintah', 'indonesia', 'indonesia', 'otomotif', 'buatan', 'asli', 'indonesia', 'nyinyir', 'pemerintah', 'indonesia']"
116,"😂😂 maunya di bodohin ni orang,nikuba cium aja bau nya gas yang keluar dari alat ini nanti akan tau alat palsu ini, jerman aja masih butuh proses panjang untuk merubah air jadi hidrogen,.
 ini alatnya cm seringkas sekecil itu sdh buat hidrogen siap pakai .
Beberapa kali banyak orang mencoba alat ini tapi pihak pak aryanto muter muter aja ngeles saja",negatif,"😂😂 maunya di bodohin ni orang,nikuba cium aja bau nya gas yang keluar dari alat ini nanti akan tau alat palsu ini, jerman aja masih butuh proses panjang untuk merubah air jadi hidrogen,.
 ini alatnya cm seringkas sekecil itu sdh buat hidrogen siap pakai .
beberapa kali banyak orang mencoba alat ini tapi pihak pak aryanto muter muter aja ngeles saja",maunya di bodohin ni orangnikuba cium aja bau nya gas yang keluar dari alat ini nanti akan tau alat palsu ini jerman aja masih butuh proses panjang untuk merubah air jadi hidrogen ini alatnya cm seringkas sekecil itu sdh buat hidrogen siap pakai beberapa kali banyak orang mencoba alat ini tapi pihak pak aryanto muter muter aja ngeles saja,"['maunya', 'di', 'bodohin', 'ni', 'orangnikuba', 'cium', 'aja', 'bau', 'nya', 'gas', 'yang', 'keluar', 'dari', 'alat', 'ini', 'nanti', 'akan', 'tau', 'alat', 'palsu', 'ini', 'jerman', 'aja', 'masih', 'butuh', 'proses', 'panjang', 'untuk', 'merubah', 'air', 'jadi', 'hidrogen', 'ini', 'alatnya', 'cm', 'seringkas', 'sekecil', 'itu', 'sdh', 'buat', 'hidrogen', 'siap', 'pakai', 'beberapa', 'kali', 'banyak', 'orang', 'mencoba', 'alat', 'ini', 'tapi', 'pihak', 'pak', 'aryanto', 'muter', 'muter', 'aja', 'ngeles', 'saja']","['maunya', 'di', 'bodohin', 'ni', 'orangnikuba', 'cium', 'saja', 'bau', 'nya', 'gas', 'yang', 'keluar', 'dari', 'alat', 'ini', 'nanti', 'akan', 'tahu', 'alat', 'palsu', 'ini', 'jerman', 'saja', 'masih', 'butuh', 'proses', 'panjang', 'untuk', 'Mengubah', 'air', 'jadi', 'hidrogen', 'ini', 'alatnya', 'cm', 'seringkas', 'sekecil', 'itu', 'sudah', 'buat', 'hidrogen', 'siap', 'pakai', 'beberapa', 'kali', 'banyak', 'orang', 'mencoba', 'alat', 'ini', 'tetapi', 'pihak', 'pak', 'aryanto', 'muter', 'muter', 'saja', 'ngeles', 'saja']","['maunya', 'bodohin', 'ni', 'orangnikuba', 'cium', 'bau', 'gas', 'alat', 'alat', 'palsu', 'jerman', 'butuh', 'proses', 'Mengubah', 'air', 'hidrogen', 'alatnya', 'cm', 'seringkas', 'hidrogen', 'pakai', 'kali', 'orang', 'mencoba', 'alat', 'aryanto', 'muter', 'muter', 'ngeles']"
117,"Ini pada mudeng sistem nikubanya gx ya, kalau yg di aplikasi sekarang itu emang ganti 100% bbm? Di jelaskan jg gx berapa energi memisahkan H2 dan O2, sebanding gx? Nuklir aja  bisa ganti bbm tapi mau tah?
Orang Indo rame tapi gax pada mikir, batu ponari sini tak celupin.
Intinya harus ada perbaikan sampai di akui",positif,"ini pada mudeng sistem nikubanya gx ya, kalau yg di aplikasi sekarang itu emang ganti 100% bbm? di jelaskan jg gx berapa energi memisahkan h2 dan o2, sebanding gx? nuklir aja  bisa ganti bbm tapi mau tah?
orang indo rame tapi gax pada mikir, batu ponari sini tak celupin.
intinya harus ada perbaikan sampai di akui",ini pada mudeng sistem nikubanya gx ya kalau yg di aplikasi sekarang itu emang ganti bbm di jelaskan jg gx berapa energi memisahkan  dan  sebanding gx nuklir aja bisa ganti bbm tapi mau tah orang indo rame tapi gax pada mikir batu ponari sini tak celupin intinya harus ada perbaikan sampai di akui,"['ini', 'pada', 'mudeng', 'sistem', 'nikubanya', 'gx', 'ya', 'kalau', 'yg', 'di', 'aplikasi', 'sekarang', 'itu', 'emang', 'ganti', 'bbm', 'di', 'jelaskan', 'jg', 'gx', 'berapa', 'energi', 'memisahkan', 'dan', 'sebanding', 'gx', 'nuklir', 'aja', 'bisa', 'ganti', 'bbm', 'tapi', 'mau', 'tah', 'orang', 'indo', 'rame', 'tapi', 'gax', 'pada', 'mikir', 'batu', 'ponari', 'sini', 'tak', 'celupin', 'intinya', 'harus', 'ada', 'perbaikan', 'sampai', 'di', 'akui']","['ini', 'pada', 'mudeng', 'sistem', 'nikubanya', 'gx', 'ya', 'kalau', 'yang', 'di', 'aplikasi', 'sekarang', 'itu', 'emang', 'ganti', 'bbm', 'di', 'jelaskan', 'jg', 'gx', 'berapa', 'energi', 'memisahkan', 'dan', 'sebanding', 'gx', 'nuklir', 'saja', 'bisa', 'ganti', 'bbm', 'tetapi', 'mau', 'tah', 'orang', 'indo', 'rame', 'tetapi', 'gax', 'pada', 'mikir', 'batu', 'ponari', 'sini', ' tidak', 'celupin', 'intinya', 'harus', 'ada', 'perbaikan', 'sampai', 'di', 'akui']","['mudeng', 'sistem', 'nikubanya', 'gx', 'aplikasi', 'emang', 'ganti', 'bbm', 'jg', 'gx', 'energi', 'memisahkan', 'sebanding', 'gx', 'nuklir', 'ganti', 'bbm', 'tah', 'orang', 'indo', 'rame', 'gax', 'mikir', 'batu', 'ponari', ' tidak', 'celupin', 'intinya', 'perbaikan', 'akui']"
118,"Menurut saya, Buat penemu Nikuba enggak usah repot repot buat aja sendiri kalau ada yang beli dari dalam dan luar negeri jual aja ke pembeli kan selesai, kalau enggak ada yang beli mungkin  teknologinya perlu disempurnakan... biar beritanya enggak jadi ruwet.. 👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",netral,"menurut saya, buat penemu nikuba enggak usah repot repot buat aja sendiri kalau ada yang beli dari dalam dan luar negeri jual aja ke pembeli kan selesai, kalau enggak ada yang beli mungkin  teknologinya perlu disempurnakan... biar beritanya enggak jadi ruwet.. 👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",menurut saya buat penemu nikuba enggak usah repot repot buat aja sendiri kalau ada yang beli dari dalam dan luar negeri jual aja ke pembeli kan selesai kalau enggak ada yang beli mungkin teknologinya perlu disempurnakan biar beritanya enggak jadi ruwet,"['menurut', 'saya', 'buat', 'penemu', 'nikuba', 'enggak', 'usah', 'repot', 'repot', 'buat', 'aja', 'sendiri', 'kalau', 'ada', 'yang', 'beli', 'dari', 'dalam', 'dan', 'luar', 'negeri', 'jual', 'aja', 'ke', 'pembeli', 'kan', 'selesai', 'kalau', 'enggak', 'ada', 'yang', 'beli', 'mungkin', 'teknologinya', 'perlu', 'disempurnakan', 'biar', 'beritanya', 'enggak', 'jadi', 'ruwet']","['menurut', 'saya', 'buat', 'penemu', 'nikuba', 'tidak', 'usah', 'repot', 'repot', 'buat', 'saja', 'sendiri', 'kalau', 'ada', 'yang', 'beli', 'dari', 'dalam', 'dan', 'luar', 'negeri', 'jual', 'saja', 'ke', 'pembeli', 'kan', 'selesai', 'kalau', 'tidak', 'ada', 'yang', 'beli', 'mungkin', 'teknologinya', 'perlu', 'disempurnakan', 'biar', 'beritanya', 'tidak', 'jadi', 'ruwet']","['penemu', 'nikuba', 'repot', 'repot', 'beli', 'negeri', 'jual', 'pembeli', 'selesai', 'beli', 'teknologinya', 'disempurnakan', 'beritanya', 'ruwet']"
119,"masih menunggu, belum akan mengapresiasi ataupun menghujat. mengingat terlihat sederhananya sistem dan mekanisme nikuba ini. sekelas Italia pastilah lebih paham",negatif,"masih menunggu, belum akan mengapresiasi ataupun menghujat. mengingat terlihat sederhananya sistem dan mekanisme nikuba ini. sekelas italia pastilah lebih paham",masih menunggu belum akan mengapresiasi ataupun menghujat mengingat terlihat sederhananya sistem dan mekanisme nikuba ini sekelas italia pastilah lebih paham,"['masih', 'menunggu', 'belum', 'akan', 'mengapresiasi', 'ataupun', 'menghujat', 'mengingat', 'terlihat', 'sederhananya', 'sistem', 'dan', 'mekanisme', 'nikuba', 'ini', 'sekelas', 'italia', 'pastilah', 'lebih', 'paham']","['masih', 'menunggu', 'belum', 'akan', 'mengapresiasi', 'ataupun', 'menghujat', 'mengingat', 'terlihat', 'sederhananya', 'sistem', 'dan', 'mekanisme', 'nikuba', 'ini', 'sekelas', 'italia', 'pastilah', 'lebih', 'paham']","['menunggu', 'mengapresiasi', 'menghujat', 'sederhananya', 'sistem', 'mekanisme', 'nikuba', 'sekelas', 'italia', 'paham']"
120,"Nanti kalau teknologi ini sudah d sempurnakan,baru  indonesia minta kpd negara pengembang pasarkan nikuba k indonesia,Indonesiakan doyan impor😂😂😂,dan pemerintah saling menyalahkan knp skil SDM sendiri d ambil  negara lain...😏.",positif,"nanti kalau teknologi ini sudah d sempurnakan,baru  indonesia minta kpd negara pengembang pasarkan nikuba k indonesia,indonesiakan doyan impor😂😂😂,dan pemerintah saling menyalahkan knp skil sdm sendiri d ambil  negara lain...😏.",nanti kalau teknologi ini sudah  sempurnakanbaru indonesia minta kpd negara pengembang pasarkan nikuba  indonesiaindonesiakan doyan impordan pemerintah saling menyalahkan knp skil sdm sendiri  ambil negara lain,"['nanti', 'kalau', 'teknologi', 'ini', 'sudah', 'sempurnakanbaru', 'indonesia', 'minta', 'kpd', 'negara', 'pengembang', 'pasarkan', 'nikuba', 'indonesiaindonesiakan', 'doyan', 'impordan', 'pemerintah', 'saling', 'menyalahkan', 'knp', 'skil', 'sdm', 'sendiri', 'ambil', 'negara', 'lain']","['nanti', 'kalau', 'teknologi', 'ini', 'sudah', 'sempurnakanbaru', 'indonesia', 'minta', 'kpd', 'negara', 'pengembang', 'pasarkan', 'nikuba', 'indonesiaindonesiakan', 'doyan', 'impordan', 'pemerintah', 'saling', 'menyalahkan', 'kenapa', 'skil', 'sdm', 'sendiri', 'ambil', 'negara', 'lain']","['teknologi', 'sempurnakanbaru', 'indonesia', 'kpd', 'negara', 'pengembang', 'pasarkan', 'nikuba', 'indonesiaindonesiakan', 'doyan', 'impordan', 'pemerintah', 'menyalahkan', 'skil', 'sdm', 'ambil', 'negara']"
121,"Sebenarnya bukan tidak dihargai, tapi pemerintah takut warga Indonesia semuanya menggunakan nikuba sedangkan yg kita tau bahan bakar minyak ini salah satu penghasilan anggaran negara terbesar",positif,"sebenarnya bukan tidak dihargai, tapi pemerintah takut warga indonesia semuanya menggunakan nikuba sedangkan yg kita tau bahan bakar minyak ini salah satu penghasilan anggaran negara terbesar",sebenarnya bukan tidak dihargai tapi pemerintah takut warga indonesia semuanya menggunakan nikuba sedangkan yg kita tau bahan bakar minyak ini salah satu penghasilan anggaran negara terbesar,"['sebenarnya', 'bukan', 'tidak', 'dihargai', 'tapi', 'pemerintah', 'takut', 'warga', 'indonesia', 'semuanya', 'menggunakan', 'nikuba', 'sedangkan', 'yg', 'kita', 'tau', 'bahan', 'bakar', 'minyak', 'ini', 'salah', 'satu', 'penghasilan', 'anggaran', 'negara', 'terbesar']","['sebenarnya', 'bukan', 'tidak', 'dihargai', 'tetapi', 'pemerintah', 'takut', 'warga', 'indonesia', 'semuanya', 'menggunakan', 'nikuba', 'sedangkan', 'yang', 'kita', 'tahu', 'bahan', 'bakar', 'minyak', 'ini', 'salah', 'satu', 'penghasilan', 'anggaran', 'negara', 'terbesar']","['dihargai', 'pemerintah', 'takut', 'warga', 'indonesia', 'nikuba', 'bahan', 'bakar', 'minyak', 'salah', 'penghasilan', 'anggaran', 'negara', 'terbesar']"
122,Pertamina mau apa?? Ancur kalau nikuba disahkan di Indonesia.. mafia yg enak bisnis minyak mau makan apa nanti.. pom bensin pada kukut semua,positif,pertamina mau apa?? ancur kalau nikuba disahkan di indonesia.. mafia yg enak bisnis minyak mau makan apa nanti.. pom bensin pada kukut semua,pertamina mau apa ancur kalau nikuba disahkan di indonesia mafia yg enak bisnis minyak mau makan apa nanti pom bensin pada kukut semua,"['pertamina', 'mau', 'apa', 'ancur', 'kalau', 'nikuba', 'disahkan', 'di', 'indonesia', 'mafia', 'yg', 'enak', 'bisnis', 'minyak', 'mau', 'makan', 'apa', 'nanti', 'pom', 'bensin', 'pada', 'kukut', 'semua']","['pertamina', 'mau', 'apa', 'ancur', 'kalau', 'nikuba', 'disahkan', 'di', 'indonesia', 'mafia', 'yang', 'enak', 'bisnis', 'minyak', 'mau', 'makan', 'apa', 'nanti', 'pom', 'bensin', 'pada', 'kukut', 'semua']","['pertamina', 'ancur', 'nikuba', 'disahkan', 'indonesia', 'mafia', 'enak', 'bisnis', 'minyak', 'makan', 'pom', 'bensin', 'kukut']"
123,Sebenarnya kalau di seriusin nikuba bisa jadi alat politik 2024 seperti 10 tahun yang lalu yang katanya esemka bakal jadi mobil nasional dan sudah banyak yang order.,positif,sebenarnya kalau di seriusin nikuba bisa jadi alat politik 2024 seperti 10 tahun yang lalu yang katanya esemka bakal jadi mobil nasional dan sudah banyak yang order.,sebenarnya kalau di seriusin nikuba bisa jadi alat politik seperti tahun yang lalu yang katanya esemka bakal jadi mobil nasional dan sudah banyak yang order,"['sebenarnya', 'kalau', 'di', 'seriusin', 'nikuba', 'bisa', 'jadi', 'alat', 'politik', 'seperti', 'tahun', 'yang', 'lalu', 'yang', 'katanya', 'esemka', 'bakal', 'jadi', 'mobil', 'nasional', 'dan', 'sudah', 'banyak', 'yang', 'order']","['sebenarnya', 'kalau', 'di', 'seriusin', 'nikuba', 'bisa', 'jadi', 'alat', 'politik', 'seperti', 'tahun', 'yang', 'lalu', 'yang', 'katanya', 'esemka', 'bakal', 'jadi', 'mobil', 'nasional', 'dan', 'sudah', 'banyak', 'yang', 'order']","['seriusin', 'nikuba', 'alat', 'politik', 'esemka', 'mobil', 'nasional', 'order']"
124,Giliran udah di panggil sama orang luar aja ikut nimbrung... Dulu aja skeptis sama nikuba..,netral,giliran udah di panggil sama orang luar aja ikut nimbrung... dulu aja skeptis sama nikuba..,giliran udah di panggil sama orang luar aja ikut nimbrung dulu aja skeptis sama nikuba,"['giliran', 'udah', 'di', 'panggil', 'sama', 'orang', 'luar', 'aja', 'ikut', 'nimbrung', 'dulu', 'aja', 'skeptis', 'sama', 'nikuba']","['giliran', 'sudah', 'di', 'panggil', 'sama', 'orang', 'luar', 'saja', 'ikut', 'nimbrung', 'dulu', 'saja', 'skeptis', 'sama', 'nikuba']","['giliran', 'panggil', 'orang', 'nimbrung', 'skeptis', 'nikuba']"
125,"MEMALUKAN, BERITA NIKUBA DIVIRALKAN, INI MEMANG SDH LAMA, DIEROPA, JAPAN, SDH LAMA PAKAI TEKNOLOGI BERBASIS HYDROGEN. TOYOTA MIRAI , DI INGGRIS MALAH SDH ADA STASIUN PENGISIAN BAHAN BAKAR HUDROGEN BUAT MOBIL",negatif,"memalukan, berita nikuba diviralkan, ini memang sdh lama, dieropa, japan, sdh lama pakai teknologi berbasis hydrogen. toyota mirai , di inggris malah sdh ada stasiun pengisian bahan bakar hudrogen buat mobil",memalukan berita nikuba diviralkan ini memang sdh lama dieropa japan sdh lama pakai teknologi berbasis hydrogen toyota mirai di inggris malah sdh ada stasiun pengisian bahan bakar hudrogen buat mobil,"['memalukan', 'berita', 'nikuba', 'diviralkan', 'ini', 'memang', 'sdh', 'lama', 'dieropa', 'japan', 'sdh', 'lama', 'pakai', 'teknologi', 'berbasis', 'hydrogen', 'toyota', 'mirai', 'di', 'inggris', 'malah', 'sdh', 'ada', 'stasiun', 'pengisian', 'bahan', 'bakar', 'hudrogen', 'buat', 'mobil']","['memalukan', 'berita', 'nikuba', 'diviralkan', 'ini', 'memang', 'sudah', 'lama', 'dieropa', 'japan', 'sudah', 'lama', 'pakai', 'teknologi', 'berbasis', 'hydrogen', 'toyota', 'mirai', 'di', 'inggris', 'malah', 'sudah', 'ada', 'stasiun', 'pengisian', 'bahan', 'bakar', 'hudrogen', 'buat', 'mobil']","['memalukan', 'berita', 'nikuba', 'diviralkan', 'dieropa', 'japan', 'pakai', 'teknologi', 'berbasis', 'hydrogen', 'toyota', 'mirai', 'inggris', 'stasiun', 'pengisian', 'bahan', 'bakar', 'hudrogen', 'mobil']"
126,"Saya sudah tau semua. Bapak ini bukan penemu dia meniru. Tabung pemadam api dari singkong itu peneleitian bocah sma. Alat nikuba, prinsip generator hidrogen itu faktanya bukan bahan bakar tapi hanya menyempurnakan pembakaran. Dengan kata lain konsumsi bbm jadi hemat. Dan prototype nikuba generator hidrogen itu plagiat prorotype generator hidrogen bapak joko energy chanel.",positif,"saya sudah tau semua. bapak ini bukan penemu dia meniru. tabung pemadam api dari singkong itu peneleitian bocah sma. alat nikuba, prinsip generator hidrogen itu faktanya bukan bahan bakar tapi hanya menyempurnakan pembakaran. dengan kata lain konsumsi bbm jadi hemat. dan prototype nikuba generator hidrogen itu plagiat prorotype generator hidrogen bapak joko energy chanel.",saya sudah tau semua bapak ini bukan penemu dia meniru tabung pemadam api dari singkong itu peneleitian bocah sma alat nikuba prinsip generator hidrogen itu faktanya bukan bahan bakar tapi hanya menyempurnakan pembakaran dengan kata lain konsumsi bbm jadi hemat dan prototype nikuba generator hidrogen itu plagiat prorotype generator hidrogen bapak joko energy chanel,"['saya', 'sudah', 'tau', 'semua', 'bapak', 'ini', 'bukan', 'penemu', 'dia', 'meniru', 'tabung', 'pemadam', 'api', 'dari', 'singkong', 'itu', 'peneleitian', 'bocah', 'sma', 'alat', 'nikuba', 'prinsip', 'generator', 'hidrogen', 'itu', 'faktanya', 'bukan', 'bahan', 'bakar', 'tapi', 'hanya', 'menyempurnakan', 'pembakaran', 'dengan', 'kata', 'lain', 'konsumsi', 'bbm', 'jadi', 'hemat', 'dan', 'prototype', 'nikuba', 'generator', 'hidrogen', 'itu', 'plagiat', 'prorotype', 'generator', 'hidrogen', 'bapak', 'joko', 'energy', 'chanel']","['saya', 'sudah', 'tahu', 'semua', 'bapak', 'ini', 'bukan', 'penemu', 'dia', 'meniru', 'tabung', 'pemadam', 'api', 'dari', 'singkong', 'itu', 'peneleitian', 'bocah', 'sma', 'alat', 'nikuba', 'prinsip', 'generator', 'hidrogen', 'itu', 'faktanya', 'bukan', 'bahan', 'bakar', 'tetapi', 'hanya', 'menyempurnakan', 'pembakaran', 'dengan', 'kata', 'lain', 'konsumsi', 'bbm', 'jadi', 'hemat', 'dan', 'prototype', 'nikuba', 'generator', 'hidrogen', 'itu', 'plagiat', 'prorotype', 'generator', 'hidrogen', 'bapak', 'joko', 'energy', 'chanel']","['penemu', 'meniru', 'tabung', 'pemadam', 'api', 'singkong', 'peneleitian', 'bocah', 'sma', 'alat', 'nikuba', 'prinsip', 'generator', 'hidrogen', 'faktanya', 'bahan', 'bakar', 'menyempurnakan', 'pembakaran', 'konsumsi', 'bbm', 'hemat', 'prototype', 'nikuba', 'generator', 'hidrogen', 'plagiat', 'prorotype', 'generator', 'hidrogen', 'joko', 'energy', 'chanel']"
127,Saat ini nikuba tidak efisien dan artinya masih tekor jika dijadikan energi.,negatif,saat ini nikuba tidak efisien dan artinya masih tekor jika dijadikan energi.,saat ini nikuba tidak efisien dan artinya masih tekor jika dijadikan energi,"['saat', 'ini', 'nikuba', 'tidak', 'efisien', 'dan', 'artinya', 'masih', 'tekor', 'jika', 'dijadikan', 'energi']","['saat', 'ini', 'nikuba', 'tidak', 'efisien', 'dan', 'artinya', 'masih', 'tekor', 'jika', 'dijadikan', 'energi']","['nikuba', 'efisien', 'tekor', 'dijadikan', 'energi']"
128,Selamat seluruh dunia kena prank nikuba wkwkwk,positif,selamat seluruh dunia kena prank nikuba wkwkwk,selamat seluruh dunia kena prank nikuba wkwkwk,"['selamat', 'seluruh', 'dunia', 'kena', 'prank', 'nikuba', 'wkwkwk']","['selamat', 'seluruh', 'dunia', 'kena', 'prank', 'nikuba', 'wkwkwk']","['selamat', 'dunia', 'kena', 'prank', 'nikuba']"
129,"Kita tunggu, perusahaan otomotif dari Eropa yang melirik Nikuba itu nanti ada kelanjutannya atau tidak.
Tahapan setelah ""melirik"" itu apa ya ?",netral,"kita tunggu, perusahaan otomotif dari eropa yang melirik nikuba itu nanti ada kelanjutannya atau tidak.
tahapan setelah ""melirik"" itu apa ya ?",kita tunggu perusahaan otomotif dari eropa yang melirik nikuba itu nanti ada kelanjutannya atau tidak tahapan setelah melirik itu apa ya,"['kita', 'tunggu', 'perusahaan', 'otomotif', 'dari', 'eropa', 'yang', 'melirik', 'nikuba', 'itu', 'nanti', 'ada', 'kelanjutannya', 'atau', 'tidak', 'tahapan', 'setelah', 'melirik', 'itu', 'apa', 'ya']","['kita', 'tunggu', 'perusahaan', 'otomotif', 'dari', 'eropa', 'yang', 'melirik', 'nikuba', 'itu', 'nanti', 'ada', 'kelanjutannya', 'atau', 'tidak', 'tahapan', 'setelah', 'melirik', 'itu', 'apa', 'ya']","['tunggu', 'perusahaan', 'otomotif', 'eropa', 'melirik', 'nikuba', 'kelanjutannya', 'tahapan', 'melirik']"
